Sobral de Monte Agraço,39.019722,-9.148889
Torres Vedras,39.090556,-9.259167
Vila Franca de Xira,38.95,-8.983333
Amadora,38.75,-9.233333
Odivelas,38.8,-9.183333
Alter do Chão,39.2,-7.666667
Arronches,39.116667,-7.283333
Avis,39.05,-7.883333
Campo Maior,39.016667,-7.066667
Castelo de Vide,39.416667,-7.45
Crato,39.283333,-7.65
Elvas,38.866667,-7.166667
Fronteira,39.05,-7.65
Gavião,39.466667,-7.933333
Marvão,39.4,-7.366667
Monforte,39.052222,-7.438056
Nisa,39.51540,-7.64907
Ponte de Sor,39.24910,-8.00877
Portalegre,39.283333,-7.433333
Sousel,38.9525,-7.676389
Amarante,41.269444,-8.078333
Baião,41.166667,-8.033333
Felgueiras,41.366667,-8.183333
Gondomar,41.15,-8.533333
Lousada,41.283333,-8.283333
Maia,41.233333,-8.616667
Marco de Canaveses,41.183333,-8.15
Matosinhos,41.183333,-8.7
Paços de Ferreira,41.283333,-8.383333
Paredes,41.2,-8.333333
Penafiel,41.20669,-8.28386
Porto,41.149444,-8.610833
Póvoa de Varzim,41.38,-8.760833
Santo Tirso,41.35,-8.483333
Valongo,41.183333,-8.5
Vila do Conde,41.35,-8.75
Vila Nova de Gaia,41.133333,-8.616667
Trofa,41.35,-8.55
Abrantes,39.466667,-8.2
Alcanena,39.466667,-8.666667
Almeirim,39.209167,-8.628611
Alpiarça,39.266667,-8.583333
Benavente,38.983333,-8.816667
Cartaxo,39.15,-8.783333
Chamusca,39.35,-8.483333
Constância,39.483333,-8.333333
Coruche,38.95,-8.533333
Entroncamento,39.466667,-8.466667
Ferreira do Zêzere,39.7,-8.283333
Golegã,39.4,-8.483333
Mação,39.55,-8
Rio Maior,39.333333,-8.933333
Salvaterra de Magos,39.025833,-8.792778
Santarém,39.233889,-8.686111
Sardoal,39.537369,-8.161381
Tomar,39.6,-8.416667
Torres Novas,39.483333,-8.533333
Vila Nova da Barquinha,39.45,-8.433333
Ourém,39.65,-8.583333
Alcácer do Sal,38.366667,-8.5
Alcochete,38.75,-8.966667
Almada,38.680278,-9.158333
Barreiro,38.666667,-9.066667
Grândola,38.183333,-8.566667
Moita,38.65,-9
Montijo,38.7,-8.966667
Palmela,38.5675,-8.899167
Santiago do Cacém,38.016667,-8.7
Seixal,38.65,-9.1
Sesimbra,38.447222,-9.099444
Setúbal,38.524306,-8.8925
Sines,37.956944,-8.869722
Arcos de Valdevez,41.85,-8.416667
Caminha,41.833333,-8.833333
Melgaço,42.116667,-8.266667
Monção,42.073333,-8.48
Paredes de Coura,41.881667,-8.666389
Ponte da Barca,41.808611,-8.420833
Ponte de Lima,41.766667,-8.583333
Valença,42.025833,-8.632778
Viana do Castelo,41.7,-8.833333
Vila Nova de Cerveira,41.94,-8.744444
Alijó,41.283333,-7.466667
Boticas,41.683333,-7.666667
Chaves,41.75,-7.533333
Mesão Frio,41.166667,-7.883333
Mondim de Basto,41.42,-7.958333
Montalegre,41.823889,-7.79
Murça,41.408333,-7.453611
Peso da Régua,41.16173,-7.78910
Ribeira de Pena,41.519444,-7.814444
Sabrosa,41.265278,-7.578056
Santa Marta de Penaguião,41.210833,-7.784444
Valpaços,41.6,-7.316667
Vila Pouca de Aguiar,41.501667,-7.647778
Vila Real,41.295833,-7.746111
Armamar,41.116667,-7.683333
Carregal do Sal,40.433333,-8
Castro Daire,40.9,-7.933333
Cinfães,41.066667,-8.083333
Lamego,41.083333,-7.866667
Mangualde,40.6,-7.766667
Moimenta da Beira,40.983333,-7.616667
Mortágua,40.393056,-8.233333
Nelas,40.53,-7.855
Oliveira de Frades,40.747222,-8.173889
Penalva do Castelo,40.673889,-7.698056
Penedono,40.989444,-7.394722
Resende,41.1,-7.95
Santa Comba Dão,40.4,-8.133333
São João da Pesqueira,41.148056,-7.405
São Pedro do Sul,40.760833,-8.065556
Sátão,40.743056,-7.733056
Sernancelhe,40.900278,-7.494444
Tabuaço,41.117489,-7.567675
Tarouca,41.016667,-7.783333
Tondela,40.516667,-8.083333
Vila Nova de Paiva,40.85,-7.733333
Viseu,40.660833,-7.909444
Vouzela,40.723056,-8.111944
