dicofre;designacao;codigo;lat;long;area;pop;site;district;parish;nuts3;nuts2
1306;Maia;MAI;41.233333;-8.616667;82.99;135678;http://www.cm-maia.pt;Porto;10;Área Metropolitana do Porto;Norte
1307;Marco de Canaveses;MCN;41.183333;-8.15;201.89;53450;http://www.cm-marco-canaveses.pt/;Porto;16;Tâmega e Sousa;Norte
1308;Matosinhos;MTS;41.183333;-8.7;62.42;175478;http://www.cm-matosinhos.pt/;Porto;4;Área Metropolitana do Porto;Norte
1309;Paços de Ferreira;PFR;41.283333;-8.383333;70.99;56340;http://www.cm-pacosdeferreira.pt;Porto;12;Tâmega e Sousa;Norte
1310;Paredes;PRD;41.2;-8.333333;156.76;86854;http://www.cm-paredes.pt/;Porto;18;Área Metropolitana do Porto;Norte
1311;Penafiel;PNF;41.20669;-8.28386;212.24;72265;http://www.cm-penafiel.pt/;Porto;28;Tâmega e Sousa;Norte
1312;Porto;PRT;41.149444;-8.610833;41.42;231962;http://www.cm-porto.pt;Porto;7;Área Metropolitana do Porto;Norte
1313;Póvoa de Varzim;PVZ;41.38;-8.760833;82.21;63408;http://www.cm-pvarzim.pt;Porto;7;Área Metropolitana do Porto;Norte
1314;Santo Tirso;STS;41.35;-8.483333;136.60;71530;http://www.cm-stirso.pt/;Porto;14;Área Metropolitana do Porto;Norte
1315;Valongo;VLG;41.183333;-8.5;75.12;93858;http://www.cm-valongo.pt/;Porto;4;Área Metropolitana do Porto;Norte
1316;Vila do Conde;VCD;41.35;-8.75;149.03;79533;http://www.cm-viladoconde.pt;Porto;21;Área Metropolitana do Porto;Norte
1317;Vila Nova de Gaia;VNG;41.133333;-8.616667;168.46;304149;http://www.cm-gaia.pt;Porto;15;Área Metropolitana do Porto;Norte
1318;Trofa;TRF;41.35;-8.55;72.02;38999;http://www.mun-trofa.pt/;Porto;5;Área Metropolitana do Porto;Norte
1401;Abrantes;ABT;39.466667;-8.2;714.69;34351;http://www.cm-abrantes.pt;Santarém;13;Médio Tejo;Centro
1402;Alcanena;ACN;39.466667;-8.666667;137.33;20604;http://www.cm-alcanena.pt;Santarém;7;Médio Tejo;Centro
1403;Almeirim;ALR;39.209167;-8.628611;222.12;22016;https://www.cm-almeirim.pt/;Santarém;4;Lezíria do Tejo;Alentejo
1404;Alpiarça;APC;39.266667;-8.583333;95.36;6976;https://cm-alpiarca.pt/;Santarém;1;Lezíria do Tejo;Alentejo
1405;Benavente;BNV;38.983333;-8.816667;521.38;29716;http://www.cm-benavente.pt/;Santarém;4;Lezíria do Tejo;Alentejo
1406;Cartaxo;CTX;39.15;-8.783333;158.17;23187;http://www.cm-cartaxo.pt;Santarém;6;Lezíria do Tejo;Alentejo
